Item, Quantity, Date of Last Check, Notes
Harnesses,8, 05/2018, All include meillons
Stops,3, 05/2018, In 'SRT Spares'
Hand Ascenders,3, 05/2018, In 'SRT Spares'
Kroll,1, 05/2018, In 'SRT Spares'
Footloop,1, 05/2018, In 'SRT Spares'
Maillon Rapide,1, 05/2018, In 'SRT Spares'
Pulleys,2, 05/2018, In 'SRT Spares'
Chest Tape,2, 05/2018, In 'SRT Spares'
Slings,1, 05/2018, Need moving into main store
D Maillons,1, 05/2018, Need moving into main store
Knee Pads, 5x pairs; 3x odd, 05/2018, Smallest pair is ? Condition; one odd thrown
Socks, 2x Small; 3x Large; 6x Odd Small, 05/2018, 2 of Large are ? Condition 
Medium (PVC),7, 05/2019,"'Some of these tackle sacks are pretty shagged, though.’"
Large (PVC),6, 05/2019,"'Some of these tackle sacks are pretty shagged, though.’"
Large (Canvas),3, 05/2019,"'Some of these tackle sacks are pretty shagged, though.’"
Slings,5?, 05/2020,'Feel like we should have more of these sorry’
Tape,10m or so, 05/2019,
