UID, Make, Size, Condition, Type, Date of Last Check, Notes
01, Warmbac, M, G, Cord, 05/2018, -
02, Warmbac, XXL, G, Cord, 05/208, -
03, Warmbac, M, G, Cord, 05/2018, -
03, Warmbac, L, G, Cord, 05/2018, -
04, Warmbac, XL, G, Cord, 05/2018, -
05, Warmbac, XL, G, Cord, 05/2018, -
06, Warmbac, M, G, Cord, 05/2018, -
07, Daleswear, S, G, Cord, 05/2018, -
08, Warmbac, XL, G, Cord, 05/2018, -
09, Warmbac, L, G, Cord, 05/2018, -
10, Warmbac, L, ?, Cord, 05/2018, -
11, Bernie's, S, G, Cord, 05/2018, -
12, Daleswear, S, G, Cord, 05/2018, -
13, Meander, M, G, PVC, 05/2018, -
14, Meander, XL, B, PVC, 05/2018, Retired for Scraps
15, Beast, XS, G, Cord, 05/2018
